true_label,prob,pred,inference_time_ms
0,0.934198,1,0.0005
1,0.954934,1,0.0006
1,0.991739,1,0.0006
1,0.993315,1,0.0005
1,0.952818,1,0.0006
1,0.88208,1,0.0005
1,0.98897,1,0.0005
1,0.993209,1,0.0005
1,0.992499,1,0.0006
0,0.967801,1,0.0005
1,0.957972,1,0.0006
1,0.938345,1,0.0005
1,0.86732,1,0.0006
1,0.992764,1,0.0006
1,0.999391,1,0.0007
1,0.99974,1,0.0006
1,0.998653,1,0.0006
1,0.997455,1,0.0005
1,0.97925,1,0.0006
1,0.998712,1,0.0007
1,0.999873,1,0.0005
1,0.999922,1,0.0005
1,0.99998,1,0.0006
1,0.999988,1,0.0006
1,0.999983,1,0.0006
1,0.999501,1,0.0005
1,0.998451,1,0.0006
1,0.993293,1,0.0005
0,0.99125,1,0.0005
1,0.97164,1,0.0005
0,0.678579,1,0.0005
0,0.491261,0,0.0005
0,0.418934,0,0.0006
1,0.435016,0,0.0006
1,0.800099,1,0.0005
0,0.858897,1,0.0006
0,0.602503,1,0.0005
0,0.427385,0,0.0005
0,0.269437,0,0.0006
0,0.202255,0,0.0006
0,0.19663,0,0.0006
0,0.209689,0,0.0006
0,0.1581,0,0.0005
0,0.142988,0,0.0005
0,0.147061,0,0.0006
0,0.229746,0,0.0006
0,0.148001,0,0.0006
0,0.131753,0,0.0005
0,0.404055,0,0.0006
0,0.044558,0,0.0006
0,0.404921,0,0.0006
0,0.295353,0,0.0006
0,0.27172,0,0.0006
0,0.18068,0,0.0006
0,0.532335,1,0.0006
0,0.348846,0,0.0006
0,0.259658,0,0.0006
0,0.395959,0,0.0006
0,0.364983,0,0.0005
0,0.412764,0,0.0005
0,0.231272,0,0.0006
0,0.256637,0,0.0005
0,0.497691,0,0.0006
0,0.416895,0,0.0005
0,0.356495,0,0.0006
0,0.341778,0,0.0005
0,0.794995,1,0.0006
0,0.353449,0,0.0005
1,0.314779,0,0.0006
0,0.373202,0,0.0006
0,0.236555,0,0.0006
0,0.311526,0,0.0006
0,0.229552,0,0.0005
0,0.445993,0,0.0005
0,0.370781,0,0.0006
0,0.435781,0,0.0006
0,0.715872,1,0.0005
0,0.105633,0,0.0005
0,0.597829,1,0.0006
0,0.797999,1,0.0007
0,0.896339,1,0.0006
0,0.832144,1,0.0005
0,0.782701,1,0.0005
0,0.878604,1,0.0006
0,0.853298,1,0.0006
0,0.860591,1,0.0006
0,0.866366,1,0.0006
0,0.803626,1,0.0006
0,0.437875,0,0.0006
0,0.453446,0,0.0005
0,0.574298,1,0.0006
0,0.584965,1,0.0005
0,0.383425,0,0.0006
0,0.201366,0,0.0006
0,0.999845,1,0.0006
0,0.768513,1,0.0006
0,0.379877,0,0.0006
0,0.999889,1,0.0005
0,0.999986,1,0.0005
0,0.604968,1,0.0005
0,0.40204,0,0.0006
0,0.372859,0,0.0005
0,0.225774,0,0.0006
0,0.154594,0,0.0006
0,0.28111,0,0.0005
0,0.020397,0,0.0006
0,0.395775,0,0.0005
0,0.349804,0,0.0005
0,0.342453,0,0.0006
0,0.042363,0,0.0005
0,0.295235,0,0.0006
0,0.390018,0,0.0005
0,0.39211,0,0.0006
0,0.303461,0,0.0005
0,0.32708,0,0.0005
0,0.439366,0,0.0006
1,0.213103,0,0.0006
0,0.146274,0,0.0005
0,0.331299,0,0.0006
0,0.350064,0,0.0005
0,0.831922,1,0.0006
1,0.934755,1,0.0005
1,0.842008,1,0.0005
0,0.412374,0,0.0005
0,0.495269,0,0.0006
0,0.913454,1,0.0005
0,0.87696,1,0.0007
0,0.745078,1,0.0006
0,0.81866,1,0.0006
0,0.92518,1,0.0005
0,0.777828,1,0.0006
0,0.403466,0,0.0006
0,0.654052,1,0.0006
0,0.022936,0,0.0005
0,0.8301,1,0.0006
1,0.898132,1,0.0005
0,0.808129,1,0.0006
0,0.373063,0,0.0005
0,0.366645,0,0.0006
1,0.592911,1,0.0006
0,0.744755,1,0.0006
0,0.678957,1,0.0005
0,0.520737,1,0.0005
1,0.700505,1,0.0006
0,0.214954,0,0.0006
0,0.273509,0,0.0006
0,0.693552,1,0.0005
0,0.815701,1,0.0005
0,0.742471,1,0.0005
0,0.638621,1,0.0005
0,0.617361,1,0.0005
0,0.143686,0,0.0005
0,0.243074,0,0.0006
0,0.791935,1,0.0006
1,0.946632,1,0.0005
0,0.809662,1,0.0006
0,0.709207,1,0.0006
0,0.727669,1,0.0006
0,0.354725,0,0.0006
0,0.344069,0,0.0006
0,0.563523,1,0.0006
0,0.059425,0,0.0005
0,0.597508,1,0.0005
0,0.466039,0,0.0005
0,0.520457,1,0.0005
0,0.490259,0,0.0006
0,0.163881,0,0.0005
0,0.601081,1,0.0005
0,0.745278,1,0.0006
0,0.89378,1,0.0006
0,0.948192,1,0.0005
0,0.925795,1,0.0005
0,0.398588,0,0.0005
0,0.167938,0,0.0006
0,0.600382,1,0.0005
0,0.80103,1,0.0006
1,0.949084,1,0.0005
1,0.843353,1,0.0006
0,0.587443,1,0.0006
0,0.78814,1,0.0005
1,0.864648,1,0.0006
1,0.478379,0,0.0006
0,0.213302,0,0.0006
0,0.22236,0,0.0006
1,0.257948,0,0.0006
0,0.358901,0,0.0006
0,0.171719,0,0.0006
0,0.148586,0,0.0006
0,0.499426,0,0.0006
0,0.030046,0,0.0006
0,0.244301,0,0.0006
1,0.334424,0,0.0005
0,0.513525,1,0.0006
0,0.263792,0,0.0006
0,0.137957,0,0.0006
0,0.247679,0,0.0005
0,0.47509,0,0.0005
0,0.275672,0,0.0006
0,0.226736,0,0.0006
0,0.261488,0,0.0005
0,0.146371,0,0.0006
1,0.121569,0,0.0005
0,0.441581,0,0.0005
0,0.480795,0,0.0006
0,0.430023,0,0.0005
1,0.63164,1,0.0006
0,0.431116,0,0.0005
1,0.161871,0,0.0005
1,0.19844,0,0.0005
0,0.193094,0,0.0006
0,0.287575,0,0.0006
0,0.266992,0,0.0005
0,0.346576,0,0.0006
0,0.212616,0,0.0005
0,0.110334,0,0.0005
0,0.071487,0,0.0005
0,0.129877,0,0.0005
0,0.03061,0,0.0005
0,0.110339,0,0.0006
1,0.096813,0,0.0005
0,0.063561,0,0.0005
1,0.02786,0,0.0005
1,0.023191,0,0.0005
0,0.069842,0,0.0005
0,0.065993,0,0.0006
0,0.076352,0,0.0006
1,0.070312,0,0.0005
0,0.218586,0,0.0006
0,0.052936,0,0.0006
1,0.013693,0,0.0006
