true_label,prob,pred,inference_time_ms
0,0.003796,0,0.0007
0,0.223972,0,0.0007
0,0.419848,0,0.0007
0,0.206686,0,0.0007
0,0.37576,0,0.0007
0,0.775791,1,0.0007
0,0.750152,1,0.0007
0,0.836243,1,0.0007
1,0.95546,1,0.0007
1,0.966505,1,0.0007
1,0.960529,1,0.0007
1,0.97069,1,0.0007
1,0.979341,1,0.0007
1,0.972864,1,0.0008
1,0.955108,1,0.0007
1,0.983075,1,0.0007
1,0.991265,1,0.0007
1,0.975899,1,0.0007
1,0.991853,1,0.0007
1,0.98862,1,0.0007
1,0.96091,1,0.0007
1,0.967291,1,0.0007
1,0.978292,1,0.0007
1,0.991815,1,0.0007
1,0.971821,1,0.0007
1,0.992528,1,0.0007
0,0.964139,1,0.0007
0,0.66128,1,0.0007
0,0.673687,1,0.0007
0,0.781226,1,0.0007
0,0.848076,1,0.0008
0,0.861145,1,0.0007
0,0.907355,1,0.0007
1,0.92367,1,0.0006
1,0.96423,1,0.0007
0,0.795596,1,0.0007
0,0.915911,1,0.0008
0,0.979186,1,0.0007
0,0.990061,1,0.0007
0,0.989452,1,0.0007
0,0.982699,1,0.0007
0,0.987198,1,0.0007
0,0.989771,1,0.0007
0,0.99029,1,0.0006
0,0.961427,1,0.0007
0,0.966063,1,0.0007
0,0.934484,1,0.0007
0,0.984044,1,0.0007
0,0.990811,1,0.0007
0,0.992686,1,0.0007
0,0.987066,1,0.0007
0,0.993345,1,0.0007
1,0.99386,1,0.0007
1,0.993578,1,0.0007
1,0.991391,1,0.0007
1,0.991718,1,0.0007
0,0.989253,1,0.0007
0,0.994515,1,0.0007
0,0.994217,1,0.0007
0,0.987226,1,0.0007
0,0.989308,1,0.0007
0,0.985667,1,0.0007
0,0.98352,1,0.0007
0,0.973231,1,0.0007
0,0.978486,1,0.0007
0,0.995904,1,0.0007
0,0.990234,1,0.0007
0,0.991107,1,0.0007
0,0.986842,1,0.0007
0,0.966998,1,0.0007
0,0.977008,1,0.0007
0,0.970684,1,0.0007
0,0.978589,1,0.0007
0,0.979177,1,0.0006
0,0.97906,1,0.0008
0,0.986074,1,0.0007
0,0.978378,1,0.0007
0,0.979688,1,0.0007
0,0.981633,1,0.0007
0,0.985342,1,0.0007
0,0.983974,1,0.0007
0,0.980697,1,0.0008
0,0.979627,1,0.0007
0,0.983557,1,0.0007
0,0.983315,1,0.0007
0,0.97894,1,0.0007
0,0.98742,1,0.0007
0,0.976904,1,0.0007
0,0.98391,1,0.0007
0,0.986892,1,0.0007
0,0.985109,1,0.0007
0,0.979434,1,0.0007
0,0.988872,1,0.0007
0,0.991093,1,0.0007
0,0.992767,1,0.0007
0,0.974798,1,0.0007
0,0.98077,1,0.0007
0,0.990937,1,0.0007
0,0.99137,1,0.0007
0,0.996082,1,0.0007
0,0.963023,1,0.0007
0,0.989408,1,0.0007
0,0.990392,1,0.0007
0,0.991649,1,0.0007
0,0.994392,1,0.0007
0,0.99253,1,0.0007
0,0.99771,1,0.0007
0,0.997894,1,0.0007
0,0.99696,1,0.0007
0,0.997887,1,0.0007
0,0.99827,1,0.0007
0,0.998082,1,0.0007
0,0.997072,1,0.0007
0,0.998674,1,0.0007
0,0.998091,1,0.0007
0,0.997726,1,0.0007
0,0.99831,1,0.0007
0,0.997627,1,0.0007
0,0.998065,1,0.0007
0,0.99788,1,0.0007
0,0.998226,1,0.0007
0,0.998745,1,0.0007
0,0.99514,1,0.0007
0,0.977538,1,0.0007
0,0.990201,1,0.0007
0,0.958687,1,0.0007
0,0.959819,1,0.0007
0,0.97113,1,0.0007
0,0.9642,1,0.0007
0,0.973758,1,0.0007
0,0.979418,1,0.0007
0,0.986084,1,0.0007
0,0.987992,1,0.0007
0,0.996682,1,0.0007
0,0.99724,1,0.0007
0,0.99862,1,0.0007
0,0.998058,1,0.0007
1,0.997662,1,0.0007
0,0.997725,1,0.0007
0,0.996791,1,0.0007
0,0.001922,0,0.0008
0,0.814784,1,0.0007
0,0.967266,1,0.0007
0,0.001527,0,0.0007
0,0.000128,0,0.0007
0,0.992797,1,0.0007
0,0.993383,1,0.0007
0,0.996436,1,0.0007
0,0.996989,1,0.0007
0,0.997954,1,0.0007
0,0.981546,1,0.0008
0,0.92905,1,0.0007
0,0.979401,1,0.0007
0,0.985393,1,0.0007
0,0.980812,1,0.0007
0,0.980252,1,0.0007
0,0.980812,1,0.0007
0,0.980075,1,0.0007
0,0.968818,1,0.0007
0,0.982016,1,0.0007
0,0.973492,1,0.0008
0,0.984211,1,0.0007
0,0.993752,1,0.0007
0,0.994208,1,0.0007
0,0.995424,1,0.0007
0,0.992252,1,0.0007
0,0.992833,1,0.0007
0,0.9947,1,0.0007
0,0.997314,1,0.0007
0,0.998594,1,0.0007
0,0.998779,1,0.0007
0,0.996699,1,0.0006
0,0.998536,1,0.0007
0,0.99861,1,0.0007
0,0.999061,1,0.0007
0,0.998394,1,0.0007
0,0.999441,1,0.0007
0,0.99951,1,0.0007
0,0.999448,1,0.0007
0,0.996275,1,0.0007
0,0.999391,1,0.0007
0,0.999224,1,0.0007
0,0.999337,1,0.0007
0,0.999637,1,0.0007
0,0.999627,1,0.0007
0,0.999293,1,0.0007
0,0.998958,1,0.0007
0,0.999222,1,0.0007
0,0.999108,1,0.0007
0,0.998842,1,0.0007
0,0.999512,1,0.0007
0,0.999749,1,0.0007
0,0.99943,1,0.0007
0,0.999413,1,0.0007
0,0.999261,1,0.0007
0,0.999101,1,0.0007
0,0.998956,1,0.0007
0,0.999287,1,0.0007
0,0.999717,1,0.0007
0,0.998888,1,0.0007
1,0.999427,1,0.0007
1,0.999681,1,0.0007
0,0.999435,1,0.0007
0,0.999314,1,0.0007
0,0.999704,1,0.0007
1,0.999754,1,0.0007
1,0.999398,1,0.0007
0,0.964473,1,0.0007
0,0.993025,1,0.0007
0,0.996968,1,0.0007
0,0.997741,1,0.0007
1,0.998774,1,0.0007
1,0.999475,1,0.0007
0,0.99844,1,0.0007
0,0.997213,1,0.0007
